id,timestamp,Axes_Z_aaTorque
i1,2023-04-28 17:18:23.000,-0.10400000000000001
i1,2023-04-28 17:18:24.000,-0.097
i1,2023-04-28 17:18:24.000,9.993
i1,2023-04-28 17:18:24.000,1.036
i1,2023-04-28 17:18:24.000,-0.201
i1,2023-04-28 17:18:25.000,-0.161
i1,2023-04-28 17:18:25.000,-0.16
i1,2023-04-28 17:18:25.000,1.453
i1,2023-04-28 17:18:26.000,0.047
i1,2023-04-28 17:18:26.000,-0.385
i1,2023-04-28 17:18:26.000,0.8150000000000001
i1,2023-04-28 17:18:26.000,0.148
i1,2023-04-28 17:18:27.000,0.438
i1,2023-04-28 17:18:27.000,0.222
i1,2023-04-28 17:18:27.000,0.25
i1,2023-04-28 17:18:27.000,0.261
i1,2023-04-28 17:18:28.000,0.214
i1,2023-04-28 17:18:28.000,-0.686
i1,2023-04-28 17:18:28.000,-2.074
i1,2023-04-28 17:18:29.000,-0.312
i1,2023-04-28 17:18:29.000,-1.278
i1,2023-04-28 17:18:29.000,0.619
i1,2023-04-28 17:18:29.000,-0.316
i1,2023-04-28 17:18:30.000,-0.156
i1,2023-04-28 17:18:30.000,-0.115
i1,2023-04-28 17:18:30.000,-0.195
i1,2023-04-28 17:18:30.000,-0.147
i1,2023-04-28 17:18:31.000,2.581
i1,2023-04-28 17:18:31.000,-1.224
i1,2023-04-28 17:18:31.000,0.14300000000000002
i1,2023-04-28 17:18:31.000,0.146
i1,2023-04-28 17:18:32.000,0.679
i1,2023-04-28 17:18:32.000,1.204
i1,2023-04-28 17:18:32.000,0.281
i1,2023-04-28 17:18:32.000,2.491
i1,2023-04-28 17:18:33.000,-0.361
i1,2023-04-28 17:18:33.000,-0.623
i1,2023-04-28 17:18:33.000,0.211
i1,2023-04-28 17:18:33.000,-0.452
i1,2023-04-28 17:18:34.000,0.231
i1,2023-04-28 17:18:34.000,-0.508
i1,2023-04-28 17:18:34.000,-0.07200000000000001
i1,2023-04-28 17:18:35.000,0.6890000000000001
i1,2023-04-28 17:18:35.000,1.927
i1,2023-04-28 17:18:35.000,1.086
i1,2023-04-28 17:18:35.000,0.653
i1,2023-04-28 17:18:36.000,0.49
i1,2023-04-28 17:18:36.000,1.084
i1,2023-04-28 17:18:36.000,-2.748
i1,2023-04-28 17:18:36.000,0.655
i1,2023-04-28 17:18:37.000,-0.008
i1,2023-04-28 17:18:37.000,0.255
i1,2023-04-28 17:18:37.000,0.272
i1,2023-04-28 17:18:37.000,1.0
i1,2023-04-28 17:18:38.000,0.004
i1,2023-04-28 17:18:38.000,0.729
i1,2023-04-28 17:18:38.000,1.836
i1,2023-04-28 17:18:38.000,0.08700000000000001
i1,2023-04-28 17:18:39.000,0.546
i1,2023-04-28 17:18:39.000,0.015
i1,2023-04-28 17:18:39.000,0.252
i1,2023-04-28 17:18:40.000,0.657
i1,2023-04-28 17:18:40.000,-0.093
i1,2023-04-28 17:18:40.000,0.40700000000000003
i1,2023-04-28 17:18:40.000,-0.094
i1,2023-04-28 17:18:41.000,-0.255
i1,2023-04-28 17:18:41.000,-8.38
i1,2023-04-28 17:18:41.000,-1.471
i1,2023-04-28 17:18:41.000,-0.10200000000000001
i1,2023-04-28 17:18:42.000,0.47000000000000003
i1,2023-04-28 17:18:42.000,0.059000000000000004
i1,2023-04-28 17:18:42.000,-0.115
i1,2023-04-28 17:18:42.000,-0.08700000000000001
i1,2023-04-28 17:18:43.000,3.186
i1,2023-04-28 17:18:43.000,1.244
i1,2023-04-28 17:18:43.000,-0.01
i1,2023-04-28 17:18:43.000,0.266
i1,2023-04-28 17:18:44.000,0.231
i1,2023-04-28 17:18:44.000,0.961
i1,2023-04-28 17:18:44.000,0.23500000000000001
i1,2023-04-28 17:18:45.000,-0.23900000000000002
i1,2023-04-28 17:18:45.000,1.28
i1,2023-04-28 17:18:45.000,1.237
i1,2023-04-28 17:18:45.000,-0.316
i1,2023-04-28 17:18:46.000,0.166
i1,2023-04-28 17:18:46.000,0.903
i1,2023-04-28 17:18:46.000,1.195
i1,2023-04-28 17:18:46.000,-0.384
i1,2023-04-28 17:18:47.000,0.08
i1,2023-04-28 17:18:47.000,1.352
i1,2023-04-28 17:18:47.000,0.613
i1,2023-04-28 17:18:47.000,-0.148
i1,2023-04-28 17:18:48.000,1.099
i1,2023-04-28 17:18:48.000,1.366
i1,2023-04-28 17:18:48.000,-0.28400000000000003
i1,2023-04-28 17:18:48.000,-0.036000000000000004
i1,2023-04-28 17:18:49.000,1.195
i1,2023-04-28 17:18:49.000,0.49
i1,2023-04-28 17:18:49.000,-0.189
i1,2023-04-28 17:18:49.000,1.217
i1,2023-04-28 17:18:50.000,1.391
i1,2023-04-28 17:18:50.000,-0.198
i1,2023-04-28 17:18:50.000,-0.47500000000000003
i1,2023-04-28 17:18:51.000,0.782
i1,2023-04-28 17:18:51.000,-5.932
i1,2023-04-28 17:18:51.000,-1.291
i1,2023-04-28 17:18:51.000,-0.004
i1,2023-04-28 17:18:52.000,-0.044
i1,2023-04-28 17:18:52.000,-0.178
i1,2023-04-28 17:18:52.000,-0.115
i1,2023-04-28 17:18:52.000,-0.1
i1,2023-04-28 17:18:53.000,1.344
i1,2023-04-28 17:18:53.000,-0.065
i1,2023-04-28 17:18:53.000,-0.2
i1,2023-04-28 17:18:53.000,-0.391
i1,2023-04-28 17:18:54.000,0.845
i1,2023-04-28 17:18:54.000,0.34400000000000003
i1,2023-04-28 17:18:54.000,-0.25
i1,2023-04-28 17:18:54.000,0.14300000000000002
i1,2023-04-28 17:18:55.000,0.271
i1,2023-04-28 17:18:55.000,1.167
i1,2023-04-28 17:18:55.000,0.396
i1,2023-04-28 17:18:56.000,-0.036000000000000004
i1,2023-04-28 17:18:56.000,1.383
i1,2023-04-28 17:18:56.000,0.506
i1,2023-04-28 17:18:56.000,0.607
i1,2023-04-28 17:18:57.000,-4.519
i1,2023-04-28 17:18:57.000,-0.585
i1,2023-04-28 17:18:57.000,0.498
i1,2023-04-28 17:18:57.000,1.064
i1,2023-04-28 17:18:58.000,0.4
i1,2023-04-28 17:18:58.000,1.0
i1,2023-04-28 17:18:58.000,-0.234
i1,2023-04-28 17:18:58.000,0.293
i1,2023-04-28 17:18:59.000,0.094
i1,2023-04-28 17:18:59.000,0.462
