id,timestamp,Program_actBlock
i1,2023-04-28 17:18:23.000,"F_HEAD(1388838911,25,0.2,,120,1,1,8.5,-8.2,390,200,0.4,4000,6000,"
i1,2023-04-28 17:18:25.000,"F_ROUGH(""SCHRUPPER-A-L"","""",1,0.1,3,250,2,0,54273,5,25,90,0.5,90,-"
i1,2023-04-28 17:18:28.000,"F_TS(""FRAESER-10-AXHS"",,1,1000,1,2,5,,,0,0,0,0);*RO*"
i1,2023-04-28 17:18:30.000,"F_DRILL(""FRAESER-10-AXHS"","""",1,200,1,3500,1,0,40,0.5,90,-2.2,90,5"
i1,2023-04-28 17:18:33.000,"F_ROU_Z(""AX_UK_IN_SCHLI"","""",1,0.12,3,200,2,0,0,,,,""20200630104336"
i1,2023-04-28 17:18:41.000,"F_ROU_Z(""SCHRUPPER-A-L"","""",1,0.15,3,250,2,0,0,,,,""202006301047382"
i1,2023-04-28 17:18:50.000,"F_ROU_Z(""SCHLICHTER-A-L"","""",1,0.15,3,250,2,10,0,,,,""2020063010511"
i1,2023-04-28 17:19:06.000,"F_ROU_Z(""EINSTI_2N-LR-HS"","""",1,0.1,3,200,2,12,0,,,,""2020063011000"
i1,2023-04-28 17:19:21.000,"F_ROU_Z(""EINSTI_2N-LR-HS"","""",1,0.1,3,200,2,12,0,,,,""2020063011011"
i1,2023-04-28 17:19:26.000,"F_ROU_Z(""SCHLICHTER-A-L"","""",1,0.03,3,250,2,0,0,,,,""20200630110917"
i1,2023-04-28 17:19:55.000,"F_ROU_Z(""SCHLICHTER-A-L"","""",1,0.03,3,250,2,0,0,,,,""20200630111133"
i1,2023-04-28 17:20:01.000,"F_TS(""EINSTICH-ABSTICH3"",,1,,0,1,5,,,0,0,0,0);*RO*"
i1,2023-04-28 17:20:02.000,REPOSA RMIBL
i1,2023-04-28 17:20:02.000,"F_TS(""EINSTICH-ABSTICH3"",,1,,0,1,5,,,0,0,0,0);*RO*"
i1,2023-04-28 17:20:03.000,"F_PARTOF(""EINSTICH-ABSTICH3"","""",1,0.08,3,200,2,0,22,-50.1,1,90,0,"
i1,2023-04-28 17:20:23.000,"F_ROUGH(""SCHLICHTER-A-R"","""",1,0.08,3,250,2,0,46082,5,22,90,0.2,90"
i1,2023-04-28 17:20:27.000,"F_ROUGH(""SCHLICHTER-A-R"","""",1,0.08,3,250,2,0,46082,5,22,90,0.1,90"
i1,2023-04-28 17:20:31.000,"F_TS(""SCHRUPPER-A-R"",,1,,0,1,5,,,0,0,0,0);*RO*"
i1,2023-04-28 17:20:33.000,M9
i1,2023-04-28 17:20:33.000,G0 D0 G53 X431.4;X431.4
i1,2023-04-28 17:20:34.000,G53 D0 Z601.5 C2=0;Z601.5
i1,2023-04-28 17:20:35.000,G04 F1
